Hour Ending,NORTH
1/17/2021 13:00:00,775.628006
1/17/2021 14:00:00,754.830181
1/17/2021 15:00:00,727.109918
1/17/2021 16:00:00,707.424987
1/17/2021 17:00:00,709.263103
1/17/2021 18:00:00,748.385602
1/17/2021 19:00:00,795.987924
1/17/2021 20:00:00,812.730463
1/17/2021 21:00:00,816.500253
1/17/2021 22:00:00,812.968402
1/17/2021 23:00:00,791.501908
1/18/2021 0:00:00,774.969573
1/18/2021 1:00:00,774.00493
1/18/2021 2:00:00,781.141984
1/18/2021 3:00:00,794.602169
1/18/2021 4:00:00,804.435367
1/18/2021 5:00:00,834.102895
1/18/2021 6:00:00,874.912352
1/18/2021 7:00:00,932.917682
1/18/2021 8:00:00,974.030468
1/18/2021 9:00:00,962.289628
1/18/2021 10:00:00,914.308964
1/18/2021 11:00:00,865.556545
1/18/2021 12:00:00,831.49039
1/18/2021 13:00:00,804.842274
1/18/2021 14:00:00,773.154766
1/18/2021 15:00:00,738.254917
1/18/2021 16:00:00,722.03235
1/18/2021 17:00:00,718.626819
1/18/2021 18:00:00,744.946766
1/18/2021 19:00:00,786.646479
1/18/2021 20:00:00,789.381935
1/18/2021 21:00:00,779.997258
1/18/2021 22:00:00,752.873409
1/18/2021 23:00:00,715.942545
1/19/2021 0:00:00,687.09675
1/19/2021 1:00:00,667.762509
1/19/2021 2:00:00,658.055481
1/19/2021 3:00:00,661.688942
1/19/2021 4:00:00,670.502016
1/19/2021 5:00:00,692.434189
1/19/2021 6:00:00,732.480159
1/19/2021 7:00:00,802.868156
1/19/2021 8:00:00,833.429339
1/19/2021 9:00:00,839.048199
1/19/2021 10:00:00,839.018086
1/19/2021 11:00:00,832.841601
1/19/2021 12:00:00,812.874123
1/19/2021 13:00:00,801.458321
1/19/2021 14:00:00,792.666525
1/19/2021 15:00:00,781.981629
1/19/2021 16:00:00,780.39999
1/19/2021 17:00:00,792.883617
1/19/2021 18:00:00,820.201362
1/19/2021 19:00:00,853.360505
1/19/2021 20:00:00,852.831733
1/19/2021 21:00:00,842.355319
1/19/2021 22:00:00,813.459504
1/19/2021 23:00:00,772.303487
1/20/2021 0:00:00,742.036398
1/20/2021 1:00:00,718.708089
1/20/2021 2:00:00,709.77314
1/20/2021 3:00:00,711.40152
1/20/2021 4:00:00,719.527841
1/20/2021 5:00:00,733.813305
1/20/2021 6:00:00,774.166581
1/20/2021 7:00:00,836.980645
1/20/2021 8:00:00,867.241972
1/20/2021 9:00:00,865.535037
1/20/2021 10:00:00,864.060679
1/20/2021 11:00:00,858.769392
1/20/2021 12:00:00,857.664019
1/20/2021 13:00:00,855.933579
1/20/2021 14:00:00,848.196357
1/20/2021 15:00:00,838.995784
1/20/2021 16:00:00,839.954596
1/20/2021 17:00:00,852.298532
1/20/2021 18:00:00,878.605276
1/20/2021 19:00:00,897.602205
1/20/2021 20:00:00,889.408111
1/20/2021 21:00:00,872.815101
1/20/2021 22:00:00,840.1984
1/20/2021 23:00:00,793.713874
1/21/2021 0:00:00,757.4949
1/21/2021 1:00:00,736.447242
1/21/2021 2:00:00,720.521475
1/21/2021 3:00:00,714.770338
1/21/2021 4:00:00,715.951791
1/21/2021 5:00:00,735.098829
1/21/2021 6:00:00,763.808748
1/21/2021 7:00:00,826.627513
1/21/2021 8:00:00,856.818844
1/21/2021 9:00:00,854.176203
1/21/2021 10:00:00,849.2691
1/21/2021 11:00:00,837.932723
1/21/2021 12:00:00,827.293261
1/21/2021 13:00:00,804.852413
1/21/2021 14:00:00,798.537
1/21/2021 15:00:00,779.984187
1/21/2021 16:00:00,768.688364
1/21/2021 17:00:00,767.353437
1/21/2021 18:00:00,782.384895
1/21/2021 19:00:00,814.085737
1/21/2021 20:00:00,815.10503
1/21/2021 21:00:00,801.501927
1/21/2021 22:00:00,775.239399
1/21/2021 23:00:00,738.505792
1/22/2021 0:00:00,707.666988
1/22/2021 1:00:00,677.013396
1/22/2021 2:00:00,667.40961
1/22/2021 3:00:00,663.368368
1/22/2021 4:00:00,667.666956
1/22/2021 5:00:00,688.70865
1/22/2021 6:00:00,728.197166
1/22/2021 7:00:00,790.335745
1/22/2021 8:00:00,823.604582
1/22/2021 9:00:00,829.456732
1/22/2021 10:00:00,833.314629
1/22/2021 11:00:00,835.393197
1/22/2021 12:00:00,828.295913
1/22/2021 13:00:00,821.488567
1/22/2021 14:00:00,816.532847
1/22/2021 15:00:00,797.01807
1/22/2021 16:00:00,784.705941
1/22/2021 17:00:00,785.7233
1/22/2021 18:00:00,795.214941
1/22/2021 19:00:00,822.328365
1/22/2021 20:00:00,814.099353
1/22/2021 21:00:00,801.172755
1/22/2021 22:00:00,778.282978
1/22/2021 23:00:00,747.525721
1/23/2021 0:00:00,718.036517
1/23/2021 1:00:00,695.825311
1/23/2021 2:00:00,685.966025
1/23/2021 3:00:00,682.659689
1/23/2021 4:00:00,686.103834
1/23/2021 5:00:00,697.765165
1/23/2021 6:00:00,710.080756
1/23/2021 7:00:00,732.750013
1/23/2021 8:00:00,767.703788
1/23/2021 9:00:00,797.614141
1/23/2021 10:00:00,821.938852
1/23/2021 11:00:00,828.362936
1/23/2021 12:00:00,819.117976
1/23/2021 13:00:00,797.857356
1/23/2021 14:00:00,779.492426
1/23/2021 15:00:00,759.209184
1/23/2021 16:00:00,752.479527
1/23/2021 17:00:00,760.184151
1/23/2021 18:00:00,775.515359
1/23/2021 19:00:00,793.380093
1/23/2021 20:00:00,784.759539
1/23/2021 21:00:00,770.997539
1/23/2021 22:00:00,748.386061
1/23/2021 23:00:00,718.777898
1/24/2021 0:00:00,690.611515
1/24/2021 1:00:00,664.594986
1/24/2021 2:00:00,648.106348
1/24/2021 3:00:00,640.766253
1/24/2021 4:00:00,638.593816
1/24/2021 5:00:00,646.61559
1/24/2021 6:00:00,646.757027
1/24/2021 7:00:00,668.043742
1/24/2021 8:00:00,693.896795
1/24/2021 9:00:00,726.011429
1/24/2021 10:00:00,743.386642
1/24/2021 11:00:00,740.410648
1/24/2021 12:00:00,735.804941
1/24/2021 13:00:00,733.28299
1/24/2021 14:00:00,729.717162
1/24/2021 15:00:00,725.353222
1/24/2021 16:00:00,735.384042
1/24/2021 17:00:00,746.986266
1/24/2021 18:00:00,769.882754
1/24/2021 19:00:00,788.873656
1/24/2021 20:00:00,786.065147
1/24/2021 21:00:00,769.044457
1/24/2021 22:00:00,742.002199
1/24/2021 23:00:00,702.457441
1/25/2021 0:00:00,664.776965
1/25/2021 1:00:00,641.004499
1/25/2021 2:00:00,628.14798
1/25/2021 3:00:00,624.759268
1/25/2021 4:00:00,621.92272
1/25/2021 5:00:00,635.944079
1/25/2021 6:00:00,674.743612
1/25/2021 7:00:00,749.052261
1/25/2021 8:00:00,791.622889
1/25/2021 9:00:00,805.2562
1/25/2021 10:00:00,806.699185
1/25/2021 11:00:00,791.966117
1/25/2021 12:00:00,775.758161
1/25/2021 13:00:00,752.781839
1/25/2021 14:00:00,732.317009
1/25/2021 15:00:00,713.493651
1/25/2021 16:00:00,706.853232
1/25/2021 17:00:00,705.411895
1/25/2021 18:00:00,716.089431
1/25/2021 19:00:00,758.88318
1/25/2021 20:00:00,764.043093
1/25/2021 21:00:00,759.629405
1/25/2021 22:00:00,741.893517
1/25/2021 23:00:00,714.589338
1/26/2021 0:00:00,690.068453
1/26/2021 1:00:00,698.074455
1/26/2021 2:00:00,700.397739
1/26/2021 3:00:00,708.543888
1/26/2021 4:00:00,723.640591
1/26/2021 5:00:00,754.381068
1/26/2021 6:00:00,812.630599
1/26/2021 7:00:00,900.333849
1/26/2021 8:00:00,943.102667
1/26/2021 9:00:00,929.211759
1/26/2021 10:00:00,897.319783
1/26/2021 11:00:00,862.893369
1/26/2021 12:00:00,836.754142
1/26/2021 13:00:00,797.800302
1/26/2021 14:00:00,775.494349
1/26/2021 15:00:00,752.468346
1/26/2021 16:00:00,734.54953
1/26/2021 17:00:00,744.424193
1/26/2021 18:00:00,769.473878
1/26/2021 19:00:00,828.742908
1/26/2021 20:00:00,845.981122
1/26/2021 21:00:00,844.404551
1/26/2021 22:00:00,827.580029
1/26/2021 23:00:00,797.010184
1/27/2021 0:00:00,770.549073
1/27/2021 1:00:00,758.299756
1/27/2021 2:00:00,757.727713
1/27/2021 3:00:00,771.753987
1/27/2021 4:00:00,783.361197
1/27/2021 5:00:00,813.043839
1/27/2021 6:00:00,863.546977
1/27/2021 7:00:00,955.869634
1/27/2021 8:00:00,998.60782
1/27/2021 9:00:00,985.441065
1/27/2021 10:00:00,958.353148
1/27/2021 11:00:00,927.741773
1/27/2021 12:00:00,902.629625
1/27/2021 13:00:00,873.744433
1/27/2021 14:00:00,850.054784
1/27/2021 15:00:00,823.747628
1/27/2021 16:00:00,813.737899
1/27/2021 17:00:00,823.508915
1/27/2021 18:00:00,855.110243
1/27/2021 19:00:00,911.435861
1/27/2021 20:00:00,923.944476
1/27/2021 21:00:00,933.390794
1/27/2021 22:00:00,922.143851
1/27/2021 23:00:00,893.135549
1/28/2021 0:00:00,875.322746
1/28/2021 1:00:00,873.323489
1/28/2021 2:00:00,879.790226
1/28/2021 3:00:00,888.233017
1/28/2021 4:00:00,905.439059
1/28/2021 5:00:00,937.270985
1/28/2021 6:00:00,992.663663
1/28/2021 7:00:00,1074.571757
1/28/2021 8:00:00,1108.12816
1/28/2021 9:00:00,1087.468189
1/28/2021 10:00:00,1039.898804
1/28/2021 11:00:00,982.573832
1/28/2021 12:00:00,925.2743
1/28/2021 13:00:00,872.152033
1/28/2021 14:00:00,838.022694
1/28/2021 15:00:00,808.045657
1/28/2021 16:00:00,796.431428
1/28/2021 17:00:00,804.940729
1/28/2021 18:00:00,832.985753
1/28/2021 19:00:00,887.781143
1/28/2021 20:00:00,896.307392
1/28/2021 21:00:00,893.445775
1/28/2021 22:00:00,869.807924
1/28/2021 23:00:00,834.976739
1/29/2021 0:00:00,806.415882
1/29/2021 1:00:00,787.294068
1/29/2021 2:00:00,787.90948
1/29/2021 3:00:00,796.16029
1/29/2021 4:00:00,811.566758
1/29/2021 5:00:00,839.305074
1/29/2021 6:00:00,889.216413
1/29/2021 7:00:00,964.059304
1/29/2021 8:00:00,994.300122
1/29/2021 9:00:00,971.05988
1/29/2021 10:00:00,934.490483
1/29/2021 11:00:00,894.230282
1/29/2021 12:00:00,852.577891
1/29/2021 13:00:00,809.113412
1/29/2021 14:00:00,784.743861
1/29/2021 15:00:00,766.330812
1/29/2021 16:00:00,763.461717
1/29/2021 17:00:00,769.274829
1/29/2021 18:00:00,785.091549
1/29/2021 19:00:00,811.402341
1/29/2021 20:00:00,803.122699
1/29/2021 21:00:00,793.114392
1/29/2021 22:00:00,775.68964
1/29/2021 23:00:00,756.087643
1/30/2021 0:00:00,729.417814
1/30/2021 1:00:00,709.604387
1/30/2021 2:00:00,691.627496
1/30/2021 3:00:00,680.455042
1/30/2021 4:00:00,674.681588
1/30/2021 5:00:00,677.504094
1/30/2021 6:00:00,685.169088
1/30/2021 7:00:00,703.587502
1/30/2021 8:00:00,729.146956
1/30/2021 9:00:00,754.926193
1/30/2021 10:00:00,766.200051
1/30/2021 11:00:00,770.22938
1/30/2021 12:00:00,752.508551
1/30/2021 13:00:00,723.023979
1/30/2021 14:00:00,702.02239
1/30/2021 15:00:00,687.735739
1/30/2021 16:00:00,673.647035
1/30/2021 17:00:00,669.805087
1/30/2021 18:00:00,680.150842
1/30/2021 19:00:00,709.524327
1/30/2021 20:00:00,709.375682
1/30/2021 21:00:00,701.145679
1/30/2021 22:00:00,690.462513
1/30/2021 23:00:00,676.810121
1/31/2021 0:00:00,666.691247
1/31/2021 1:00:00,668.583444
1/31/2021 2:00:00,677.185813
1/31/2021 3:00:00,688.074984
1/31/2021 4:00:00,699.261154
1/31/2021 5:00:00,720.313181
1/31/2021 6:00:00,745.911411
1/31/2021 7:00:00,778.685676
1/31/2021 8:00:00,815.750813
1/31/2021 9:00:00,843.35745
1/31/2021 10:00:00,849.342733
1/31/2021 11:00:00,829.553007
1/31/2021 12:00:00,805.321959
1/31/2021 13:00:00,770.32126
1/31/2021 14:00:00,737.847419
1/31/2021 15:00:00,713.09202
1/31/2021 16:00:00,696.345275
1/31/2021 17:00:00,701.374848
1/31/2021 18:00:00,727.8377
1/31/2021 19:00:00,784.886995
1/31/2021 20:00:00,804.822184
1/31/2021 21:00:00,807.875399
1/31/2021 22:00:00,796.339885
1/31/2021 23:00:00,774.430743
