Hour Ending,WEST
1/15/2021 5:00:00,1384.313091
1/15/2021 6:00:00,1456.005494
1/15/2021 7:00:00,1558.385961
1/15/2021 8:00:00,1615.530622
1/15/2021 9:00:00,1568.209265
1/15/2021 10:00:00,1474.778848
1/15/2021 11:00:00,1396.734246
1/15/2021 12:00:00,1331.212583
1/15/2021 13:00:00,1266.573605
1/15/2021 14:00:00,1216.375083
1/15/2021 15:00:00,1180.816747
1/15/2021 16:00:00,1156.715106
1/15/2021 17:00:00,1157.195007
1/15/2021 18:00:00,1186.909418
1/15/2021 19:00:00,1279.723837
1/15/2021 20:00:00,1319.384428
1/15/2021 21:00:00,1344.834639
1/15/2021 22:00:00,1347.983818
1/15/2021 23:00:00,1324.399972
1/16/2021 0:00:00,1304.428596
1/16/2021 1:00:00,1288.09308
1/16/2021 2:00:00,1288.789682
1/16/2021 3:00:00,1294.043882
1/16/2021 4:00:00,1317.10969
1/16/2021 5:00:00,1349.573546
1/16/2021 6:00:00,1395.119391
1/16/2021 7:00:00,1457.21173
1/16/2021 8:00:00,1514.525583
1/16/2021 9:00:00,1514.279898
1/16/2021 10:00:00,1428.308261
1/16/2021 11:00:00,1321.183465
1/16/2021 12:00:00,1221.639418
1/16/2021 13:00:00,1136.457431
1/16/2021 14:00:00,1076.039351
1/16/2021 15:00:00,1036.554531
1/16/2021 16:00:00,1018.787205
1/16/2021 17:00:00,1020.159546
1/16/2021 18:00:00,1053.029639
1/16/2021 19:00:00,1116.690531
1/16/2021 20:00:00,1145.986721
1/16/2021 21:00:00,1161.178329
1/16/2021 22:00:00,1168.566261
1/16/2021 23:00:00,1156.412283
1/17/2021 0:00:00,1142.457259
1/17/2021 1:00:00,1159.622524
1/17/2021 2:00:00,1173.418596
1/17/2021 3:00:00,1196.336046
1/17/2021 4:00:00,1209.603926
1/17/2021 5:00:00,1244.869284
1/17/2021 6:00:00,1290.906288
1/17/2021 7:00:00,1349.502145
1/17/2021 8:00:00,1415.085423
1/17/2021 9:00:00,1422.441406
1/17/2021 10:00:00,1351.103238
1/17/2021 11:00:00,1259.340059
1/17/2021 12:00:00,1172.852467
1/17/2021 13:00:00,1107.814821
1/17/2021 14:00:00,1061.031442
1/17/2021 15:00:00,1036.54095
1/17/2021 16:00:00,1024.06481
1/17/2021 17:00:00,1017.101232
1/17/2021 18:00:00,1046.011018
1/17/2021 19:00:00,1123.29342
1/17/2021 20:00:00,1159.933934
1/17/2021 21:00:00,1171.589513
1/17/2021 22:00:00,1169.759073
1/17/2021 23:00:00,1149.520618
1/18/2021 0:00:00,1138.465734
1/18/2021 1:00:00,1162.28258
1/18/2021 2:00:00,1173.508204
1/18/2021 3:00:00,1191.66022
1/18/2021 4:00:00,1211.317202
1/18/2021 5:00:00,1254.015255
1/18/2021 6:00:00,1304.451993
1/18/2021 7:00:00,1375.502139
1/18/2021 8:00:00,1421.322893
1/18/2021 9:00:00,1395.45839
1/18/2021 10:00:00,1327.492697
1/18/2021 11:00:00,1247.265804
1/18/2021 12:00:00,1175.577113
1/18/2021 13:00:00,1112.195585
1/18/2021 14:00:00,1070.972597
1/18/2021 15:00:00,1039.755372
1/18/2021 16:00:00,1026.186215
1/18/2021 17:00:00,1023.370986
1/18/2021 18:00:00,1039.174342
1/18/2021 19:00:00,1097.074401
1/18/2021 20:00:00,1117.88494
1/18/2021 21:00:00,1111.171742
1/18/2021 22:00:00,1084.864439
1/18/2021 23:00:00,1045.513465
1/19/2021 0:00:00,1008.834031
1/19/2021 1:00:00,1009.631522
1/19/2021 2:00:00,1001.663482
1/19/2021 3:00:00,996.839811
1/19/2021 4:00:00,1001.554568
1/19/2021 5:00:00,1018.153141
1/19/2021 6:00:00,1065.150866
1/19/2021 7:00:00,1161.144515
1/19/2021 8:00:00,1210.496703
1/19/2021 9:00:00,1209.314909
1/19/2021 10:00:00,1217.022731
1/19/2021 11:00:00,1219.178557
1/19/2021 12:00:00,1226.189979
1/19/2021 13:00:00,1227.190042
1/19/2021 14:00:00,1222.127779
1/19/2021 15:00:00,1220.817274
1/19/2021 16:00:00,1233.935066
1/19/2021 17:00:00,1257.547077
1/19/2021 18:00:00,1281.882456
1/19/2021 19:00:00,1326.127888
1/19/2021 20:00:00,1325.747739
1/19/2021 21:00:00,1304.564106
1/19/2021 22:00:00,1268.088303
1/19/2021 23:00:00,1213.45293
1/20/2021 0:00:00,1168.689179
1/20/2021 1:00:00,1131.437098
1/20/2021 2:00:00,1141.565201
1/20/2021 3:00:00,1147.69422
1/20/2021 4:00:00,1164.087434
1/20/2021 5:00:00,1181.141458
1/20/2021 6:00:00,1242.261599
1/20/2021 7:00:00,1338.839775
1/20/2021 8:00:00,1398.048211
1/20/2021 9:00:00,1402.796393
1/20/2021 10:00:00,1409.921601
1/20/2021 11:00:00,1377.43082
1/20/2021 12:00:00,1361.52042
1/20/2021 13:00:00,1343.049827
1/20/2021 14:00:00,1312.746578
1/20/2021 15:00:00,1294.407762
1/20/2021 16:00:00,1292.805341
1/20/2021 17:00:00,1303.807361
1/20/2021 18:00:00,1321.313851
1/20/2021 19:00:00,1359.841755
1/20/2021 20:00:00,1350.646113
1/20/2021 21:00:00,1326.995741
1/20/2021 22:00:00,1282.617383
1/20/2021 23:00:00,1218.343558
1/21/2021 0:00:00,1162.215168
1/21/2021 1:00:00,1089.747225
1/21/2021 2:00:00,1073.700641
1/21/2021 3:00:00,1072.529052
1/21/2021 4:00:00,1073.253094
1/21/2021 5:00:00,1093.49746
1/21/2021 6:00:00,1144.023193
1/21/2021 7:00:00,1235.087718
1/21/2021 8:00:00,1274.509282
1/21/2021 9:00:00,1248.479799
1/21/2021 10:00:00,1213.146586
1/21/2021 11:00:00,1184.044492
1/21/2021 12:00:00,1159.375444
1/21/2021 13:00:00,1129.663044
1/21/2021 14:00:00,1098.830892
1/21/2021 15:00:00,1069.712989
1/21/2021 16:00:00,1060.419684
1/21/2021 17:00:00,1076.992979
1/21/2021 18:00:00,1100.27539
1/21/2021 19:00:00,1156.283146
1/21/2021 20:00:00,1167.58426
1/21/2021 21:00:00,1153.581282
1/21/2021 22:00:00,1135.778822
1/21/2021 23:00:00,1088.086266
1/22/2021 0:00:00,1044.962319
1/22/2021 1:00:00,994.487339
1/22/2021 2:00:00,976.069415
1/22/2021 3:00:00,970.108728
1/22/2021 4:00:00,973.277333
1/22/2021 5:00:00,1001.168792
1/22/2021 6:00:00,1057.871006
1/22/2021 7:00:00,1150.495025
1/22/2021 8:00:00,1197.687859
1/22/2021 9:00:00,1182.008051
1/22/2021 10:00:00,1161.433304
1/22/2021 11:00:00,1138.154738
1/22/2021 12:00:00,1117.224796
1/22/2021 13:00:00,1102.727409
1/22/2021 14:00:00,1096.062948
1/22/2021 15:00:00,1090.703648
1/22/2021 16:00:00,1083.649612
1/22/2021 17:00:00,1091.114027
1/22/2021 18:00:00,1103.705617
1/22/2021 19:00:00,1145.635498
1/22/2021 20:00:00,1153.150524
1/22/2021 21:00:00,1148.899432
1/22/2021 22:00:00,1128.754985
1/22/2021 23:00:00,1087.085515
1/23/2021 0:00:00,1055.017474
1/23/2021 1:00:00,1004.228492
1/23/2021 2:00:00,989.055847
1/23/2021 3:00:00,981.481065
1/23/2021 4:00:00,989.704946
1/23/2021 5:00:00,1000.565213
1/23/2021 6:00:00,1027.216026
1/23/2021 7:00:00,1062.089414
1/23/2021 8:00:00,1104.014836
1/23/2021 9:00:00,1155.975299
1/23/2021 10:00:00,1168.810331
1/23/2021 11:00:00,1163.644788
1/23/2021 12:00:00,1151.26897
1/23/2021 13:00:00,1134.09322
1/23/2021 14:00:00,1109.526348
1/23/2021 15:00:00,1093.120465
1/23/2021 16:00:00,1088.352872
1/23/2021 17:00:00,1088.935154
1/23/2021 18:00:00,1100.992097
1/23/2021 19:00:00,1132.100886
1/23/2021 20:00:00,1133.255432
1/23/2021 21:00:00,1113.02644
1/23/2021 22:00:00,1089.611253
1/23/2021 23:00:00,1047.608791
1/24/2021 0:00:00,1003.577478
1/24/2021 1:00:00,968.610194
1/24/2021 2:00:00,948.25606
1/24/2021 3:00:00,936.937818
1/24/2021 4:00:00,927.660237
1/24/2021 5:00:00,929.532603
1/24/2021 6:00:00,942.614112
1/24/2021 7:00:00,969.222879
1/24/2021 8:00:00,1006.484746
1/24/2021 9:00:00,1040.626163
1/24/2021 10:00:00,1065.069251
1/24/2021 11:00:00,1046.478102
1/24/2021 12:00:00,1048.855052
1/24/2021 13:00:00,1047.073159
1/24/2021 14:00:00,1037.184701
1/24/2021 15:00:00,1020.756437
1/24/2021 16:00:00,1012.300382
1/24/2021 17:00:00,1013.590142
1/24/2021 18:00:00,1037.972039
1/24/2021 19:00:00,1078.424002
1/24/2021 20:00:00,1086.485818
1/24/2021 21:00:00,1068.72636
1/24/2021 22:00:00,1036.80655
1/24/2021 23:00:00,990.816521
1/25/2021 0:00:00,939.880371
1/25/2021 1:00:00,895.581894
1/25/2021 2:00:00,873.728207
1/25/2021 3:00:00,868.941656
1/25/2021 4:00:00,872.632839
1/25/2021 5:00:00,894.385584
1/25/2021 6:00:00,946.64938
1/25/2021 7:00:00,1043.270135
1/25/2021 8:00:00,1112.133714
1/25/2021 9:00:00,1110.675267
1/25/2021 10:00:00,1101.53248
1/25/2021 11:00:00,1083.693234
1/25/2021 12:00:00,1073.298549
1/25/2021 13:00:00,1060.375628
1/25/2021 14:00:00,1041.786631
1/25/2021 15:00:00,1028.551768
1/25/2021 16:00:00,1022.501465
1/25/2021 17:00:00,1025.151766
1/25/2021 18:00:00,1034.565226
1/25/2021 19:00:00,1094.753899
1/25/2021 20:00:00,1113.703418
1/25/2021 21:00:00,1112.624227
1/25/2021 22:00:00,1096.536814
1/25/2021 23:00:00,1057.519513
1/26/2021 0:00:00,1026.537015
1/26/2021 1:00:00,1046.287999
1/26/2021 2:00:00,1055.288281
1/26/2021 3:00:00,1065.27238
1/26/2021 4:00:00,1083.016325
1/26/2021 5:00:00,1126.563485
