Hour Ending,SOUTH
1/10/2021 6:00:00,2781.067514
1/10/2021 7:00:00,2836.970438
1/10/2021 8:00:00,2893.473464
1/10/2021 9:00:00,3014.657642
1/10/2021 10:00:00,3184.18568
1/10/2021 11:00:00,3288.393738
1/10/2021 12:00:00,3386.241443
1/10/2021 13:00:00,3486.198053
1/10/2021 14:00:00,3583.585366
1/10/2021 15:00:00,3687.59065
1/10/2021 16:00:00,3815.842565
1/10/2021 17:00:00,3949.012998
1/10/2021 18:00:00,4157.085764
1/10/2021 19:00:00,4386.493853
1/10/2021 20:00:00,4457.87726
1/10/2021 21:00:00,4456.319776
1/10/2021 22:00:00,4406.774733
1/10/2021 23:00:00,4260.640664
1/11/2021 0:00:00,4095.853729
1/11/2021 1:00:00,3979.212077
1/11/2021 2:00:00,3909.736554
1/11/2021 3:00:00,3881.7366
1/11/2021 4:00:00,3900.193788
1/11/2021 5:00:00,3976.595264
1/11/2021 6:00:00,4182.180565
1/11/2021 7:00:00,4501.477425
1/11/2021 8:00:00,4716.378801
1/11/2021 9:00:00,4779.625223
1/11/2021 10:00:00,4743.026997
1/11/2021 11:00:00,4642.829744
1/11/2021 12:00:00,4485.785699
1/11/2021 13:00:00,4302.935695
1/11/2021 14:00:00,4110.073265
1/11/2021 15:00:00,3929.690221
1/11/2021 16:00:00,3811.151441
1/11/2021 17:00:00,3809.615933
1/11/2021 18:00:00,3945.685197
1/11/2021 19:00:00,4250.822658
1/11/2021 20:00:00,4358.503922
1/11/2021 21:00:00,4392.966624
1/11/2021 22:00:00,4365.494978
1/11/2021 23:00:00,4201.74779
1/12/2021 0:00:00,4012.303695
1/12/2021 1:00:00,3886.491728
1/12/2021 2:00:00,3824.815
1/12/2021 3:00:00,3807.300718
1/12/2021 4:00:00,3830.635252
1/12/2021 5:00:00,3928.521405
1/12/2021 6:00:00,4142.925673
1/12/2021 7:00:00,4473.659978
1/12/2021 8:00:00,4629.404648
1/12/2021 9:00:00,4639.7282
1/12/2021 10:00:00,4576.556416
1/12/2021 11:00:00,4505.320484
1/12/2021 12:00:00,4399.373344
1/12/2021 13:00:00,4264.298756
1/12/2021 14:00:00,4093.230659
1/12/2021 15:00:00,3968.649836
1/12/2021 16:00:00,3912.681783
1/12/2021 17:00:00,3920.175098
1/12/2021 18:00:00,4036.933916
1/12/2021 19:00:00,4328.782113
1/12/2021 20:00:00,4404.590853
1/12/2021 21:00:00,4435.270843
1/12/2021 22:00:00,4412.872303
1/12/2021 23:00:00,4294.24862
1/13/2021 0:00:00,4162.830994
1/13/2021 1:00:00,4053.524777
1/13/2021 2:00:00,4046.743877
1/13/2021 3:00:00,4069.725672
1/13/2021 4:00:00,4133.895564
1/13/2021 5:00:00,4282.087114
1/13/2021 6:00:00,4551.758326
1/13/2021 7:00:00,4940.453683
1/13/2021 8:00:00,5131.048782
1/13/2021 9:00:00,5001.328034
1/13/2021 10:00:00,4627.684895
1/13/2021 11:00:00,4186.905905
1/13/2021 12:00:00,3806.473788
1/13/2021 13:00:00,3492.02927
1/13/2021 14:00:00,3247.640662
1/13/2021 15:00:00,3091.295343
1/13/2021 16:00:00,3018.517345
1/13/2021 17:00:00,3004.310392
1/13/2021 18:00:00,3069.792877
1/13/2021 19:00:00,3392.141769
1/13/2021 20:00:00,3534.601205
1/13/2021 21:00:00,3611.889149
1/13/2021 22:00:00,3640.720065
1/13/2021 23:00:00,3562.758457
1/14/2021 0:00:00,3433.943094
1/14/2021 1:00:00,3372.979423
1/14/2021 2:00:00,3345.999287
1/14/2021 3:00:00,3374.62717
1/14/2021 4:00:00,3425.976712
1/14/2021 5:00:00,3524.879051
1/14/2021 6:00:00,3784.757002
1/14/2021 7:00:00,4146.339003
1/14/2021 8:00:00,4351.360975
1/14/2021 9:00:00,4226.382685
1/14/2021 10:00:00,3909.02828
1/14/2021 11:00:00,3533.458437
1/14/2021 12:00:00,3236.0786
1/14/2021 13:00:00,3056.36261
1/14/2021 14:00:00,2965.082155
1/14/2021 15:00:00,2943.116364
1/14/2021 16:00:00,2947.954988
1/14/2021 17:00:00,2954.42627
1/14/2021 18:00:00,2944.310404
1/14/2021 19:00:00,3093.854539
1/14/2021 20:00:00,3123.889848
1/14/2021 21:00:00,3086.406163
1/14/2021 22:00:00,3019.714528
1/14/2021 23:00:00,2908.914775
1/15/2021 0:00:00,2770.459223
1/15/2021 1:00:00,2696.88952
1/15/2021 2:00:00,2665.857423
1/15/2021 3:00:00,2705.855533
1/15/2021 4:00:00,2790.608055
1/15/2021 5:00:00,2946.283829
1/15/2021 6:00:00,3226.608714
1/15/2021 7:00:00,3638.066083
1/15/2021 8:00:00,3923.859063
1/15/2021 9:00:00,3924.867816
1/15/2021 10:00:00,3758.9588
1/15/2021 11:00:00,3561.016726
1/15/2021 12:00:00,3389.326496
1/15/2021 13:00:00,3229.125146
1/15/2021 14:00:00,3102.116124
1/15/2021 15:00:00,3033.639598
1/15/2021 16:00:00,2991.765561
1/15/2021 17:00:00,2988.271173
1/15/2021 18:00:00,3023.778952
1/15/2021 19:00:00,3288.258109
1/15/2021 20:00:00,3434.679074
1/15/2021 21:00:00,3532.759305
1/15/2021 22:00:00,3596.738827
1/15/2021 23:00:00,3626.471814
1/16/2021 0:00:00,3629.406709
1/16/2021 1:00:00,3549.880457
1/16/2021 2:00:00,3536.300942
1/16/2021 3:00:00,3559.900069
1/16/2021 4:00:00,3613.95971
1/16/2021 5:00:00,3714.225812
1/16/2021 6:00:00,3857.873943
1/16/2021 7:00:00,4062.730376
1/16/2021 8:00:00,4235.554031
1/16/2021 9:00:00,4240.184768
1/16/2021 10:00:00,3989.05358
1/16/2021 11:00:00,3633.250083
1/16/2021 12:00:00,3301.117517
1/16/2021 13:00:00,3053.185698
1/16/2021 14:00:00,2900.07489
1/16/2021 15:00:00,2805.31587
1/16/2021 16:00:00,2754.019755
1/16/2021 17:00:00,2736.127301
1/16/2021 18:00:00,2789.75083
1/16/2021 19:00:00,3017.252649
1/16/2021 20:00:00,3105.935529
1/16/2021 21:00:00,3134.377194
1/16/2021 22:00:00,3162.085131
1/16/2021 23:00:00,3162.371852
1/17/2021 0:00:00,3130.760154
1/17/2021 1:00:00,3082.841876
1/17/2021 2:00:00,3045.320705
1/17/2021 3:00:00,3036.529625
1/17/2021 4:00:00,3026.548247
1/17/2021 5:00:00,3053.564762
1/17/2021 6:00:00,3100.462658
1/17/2021 7:00:00,3185.868766
1/17/2021 8:00:00,3238.758281
1/17/2021 9:00:00,3250.411954
1/17/2021 10:00:00,3167.622379
1/17/2021 11:00:00,3022.995745
1/17/2021 12:00:00,2879.426626
1/17/2021 13:00:00,2792.84681
1/17/2021 14:00:00,2744.242122
1/17/2021 15:00:00,2732.829033
1/17/2021 16:00:00,2735.293328
1/17/2021 17:00:00,2741.628992
1/17/2021 18:00:00,2777.955906
1/17/2021 19:00:00,2938.734977
1/17/2021 20:00:00,2972.691085
1/17/2021 21:00:00,2935.23785
