Hour Ending,SCENT
1/22/2021 17:00:00,6157.613591
1/22/2021 18:00:00,6194.557272
1/22/2021 19:00:00,6352.383699
1/22/2021 20:00:00,6254.700538
1/22/2021 21:00:00,6049.357524
1/22/2021 22:00:00,5819.252105
1/22/2021 23:00:00,5538.923081
1/23/2021 0:00:00,5197.850342
1/23/2021 1:00:00,4937.389043
1/23/2021 2:00:00,4759.955441
1/23/2021 3:00:00,4652.658397
1/23/2021 4:00:00,4604.352083
1/23/2021 5:00:00,4662.71239
1/23/2021 6:00:00,4806.156872
1/23/2021 7:00:00,5056.10712
1/23/2021 8:00:00,5373.587634
1/23/2021 9:00:00,5694.677222
1/23/2021 10:00:00,5917.158553
1/23/2021 11:00:00,6007.450251
1/23/2021 12:00:00,5969.855013
1/23/2021 13:00:00,5932.726505
1/23/2021 14:00:00,5891.412686
1/23/2021 15:00:00,5845.077498
1/23/2021 16:00:00,5862.784596
1/23/2021 17:00:00,5935.01206
1/23/2021 18:00:00,6105.164999
1/23/2021 19:00:00,6294.058951
1/23/2021 20:00:00,6185.764087
1/23/2021 21:00:00,6009.066502
1/23/2021 22:00:00,5811.153596
1/23/2021 23:00:00,5527.927539
1/24/2021 0:00:00,5186.44211
1/24/2021 1:00:00,4937.101156
1/24/2021 2:00:00,4757.529379
1/24/2021 3:00:00,4607.976403
1/24/2021 4:00:00,4527.075698
1/24/2021 5:00:00,4528.800471
1/24/2021 6:00:00,4587.457839
1/24/2021 7:00:00,4717.582689
1/24/2021 8:00:00,4915.470946
1/24/2021 9:00:00,5185.980382
1/24/2021 10:00:00,5511.716626
1/24/2021 11:00:00,5723.424309
1/24/2021 12:00:00,5884.895292
1/24/2021 13:00:00,5990.201801
1/24/2021 14:00:00,5988.386292
1/24/2021 15:00:00,5945.771825
1/24/2021 16:00:00,5942.298757
1/24/2021 17:00:00,5973.807302
1/24/2021 18:00:00,6142.259008
1/24/2021 19:00:00,6427.028611
1/24/2021 20:00:00,6433.359918
1/24/2021 21:00:00,6244.045101
1/24/2021 22:00:00,6028.822119
1/24/2021 23:00:00,5622.069467
1/25/2021 0:00:00,5243.5222
1/25/2021 1:00:00,4950.632432
1/25/2021 2:00:00,4759.620005
1/25/2021 3:00:00,4649.102531
1/25/2021 4:00:00,4600.223171
1/25/2021 5:00:00,4701.549865
1/25/2021 6:00:00,4919.388292
1/25/2021 7:00:00,5424.676628
1/25/2021 8:00:00,5720.672674
1/25/2021 9:00:00,5733.838675
1/25/2021 10:00:00,5787.445677
1/25/2021 11:00:00,5822.055029
1/25/2021 12:00:00,5876.128479
1/25/2021 13:00:00,5970.58359
1/25/2021 14:00:00,5997.840092
