Hour Ending,NCENT
1/9/2021 10:00:00,16017.874868
1/9/2021 11:00:00,15194.265108
1/9/2021 12:00:00,14328.091682
1/9/2021 13:00:00,13560.950843
1/9/2021 14:00:00,12829.585721
1/9/2021 15:00:00,12305.376495
1/9/2021 16:00:00,12061.730723
1/9/2021 17:00:00,12176.22607
1/9/2021 18:00:00,13107.935865
1/9/2021 19:00:00,14124.830191
1/9/2021 20:00:00,14316.402177
1/9/2021 21:00:00,14371.891671
1/9/2021 22:00:00,14197.888082
1/9/2021 23:00:00,13736.149224
1/10/2021 0:00:00,13321.078347
1/10/2021 1:00:00,12909.523031
1/10/2021 2:00:00,12548.406289
1/10/2021 3:00:00,12383.575565
1/10/2021 4:00:00,12342.408938
1/10/2021 5:00:00,12464.077439
1/10/2021 6:00:00,12784.296126
1/10/2021 7:00:00,13290.493308
1/10/2021 8:00:00,14012.347833
1/10/2021 9:00:00,14684.703849
1/10/2021 10:00:00,15543.968809
1/10/2021 11:00:00,16239.884559
1/10/2021 12:00:00,16710.98426
1/10/2021 13:00:00,17008.167489
1/10/2021 14:00:00,16983.752448
1/10/2021 15:00:00,16850.796484
1/10/2021 16:00:00,16786.655903
1/10/2021 17:00:00,16782.179278
1/10/2021 18:00:00,17261.652938
1/10/2021 19:00:00,17535.984001
1/10/2021 20:00:00,17244.99987
1/10/2021 21:00:00,16780.675066
1/10/2021 22:00:00,16209.074987
1/10/2021 23:00:00,15349.796853
1/11/2021 0:00:00,14597.79074
1/11/2021 1:00:00,14016.326765
1/11/2021 2:00:00,13809.261484
1/11/2021 3:00:00,13753.34776
1/11/2021 4:00:00,13838.529639
1/11/2021 5:00:00,14288.954346
1/11/2021 6:00:00,15175.32314
1/11/2021 7:00:00,16553.860568
1/11/2021 8:00:00,17513.540076
1/11/2021 9:00:00,17615.764163
1/11/2021 10:00:00,17134.631899
1/11/2021 11:00:00,16496.856258
1/11/2021 12:00:00,15780.228658
1/11/2021 13:00:00,15070.190212
1/11/2021 14:00:00,14400.751281
1/11/2021 15:00:00,13769.914488
1/11/2021 16:00:00,13378.049911
1/11/2021 17:00:00,13495.947577
1/11/2021 18:00:00,14468.594689
1/11/2021 19:00:00,15593.464853
1/11/2021 20:00:00,15899.447834
1/11/2021 21:00:00,15991.930607
1/11/2021 22:00:00,15814.358591
1/11/2021 23:00:00,15215.55811
1/12/2021 0:00:00,14675.77466
1/12/2021 1:00:00,14455.236885
1/12/2021 2:00:00,14468.218995
1/12/2021 3:00:00,14603.439658
1/12/2021 4:00:00,14846.5665
1/12/2021 5:00:00,15425.073266
1/12/2021 6:00:00,16490.319588
1/12/2021 7:00:00,17919.27479
1/12/2021 8:00:00,18772.134164
1/12/2021 9:00:00,18226.898147
1/12/2021 10:00:00,16987.832337
1/12/2021 11:00:00,15776.784296
1/12/2021 12:00:00,14791.746441
1/12/2021 13:00:00,13985.165036
1/12/2021 14:00:00,13321.322004
1/12/2021 15:00:00,12820.688752
1/12/2021 16:00:00,12524.895289
